"","bookname","author","score"
"1","பொன்னியின் செல்வன்","Kalki","score: 8,362"
"2","சில நேரங்களில் சில மனிதர்கள் [Sila Nerangalil Sila Manithargal]","Jayakanthan","score: 3,764"
"3","Kallikaattu Ithigaasam","Vairamuthu","score: 2,764"
"4","Oru Puliyamarathin Kathai","Sundara Ramaswamy","score: 2,659"
"5","அம்மா வந்தாள் [Amma Vanthaal]","Thi. Janakiraman","score: 1,871"
"6","கி.மு கி.பி [Ki.Mu Ki.Pi]","Madhan","score: 1,756"
"7","வந்தார்கள் வென்றார்கள் [Vandhargal Vendrargal]","Madhan","score: 1,638"
"8","ஸ்ரீரங்கத்து தேவதைகள் [Srirangathu Devadhaigal]","Sujatha","score: 1,617"
"9","Karuvachi Kaaviyam","Vairamuthu","score: 1,557"
"10","அறம் [Aram]","Jeyamohan","score: 1,531"
"11","ஒரு மனிதன் ஒரு வீடு ஒரு உலகம் [Oru Manidhan Oru Veedu Oru Ulagam]","Jayakanthan","score: 1,339"
"12","Gopalla Giramam","கி. ராஜநாரயணன்","score: 1,338"
"13","மாதொருபாகன் [Madhorubhagan]","Perumal Murugan","score: 1,248"
"14","கடல் புறா பாகம் 1 [Kadal Pura]","Sandilyan","score: 1,244"
"15","யவன ராணி [Yavana Rani] - 1","Sandilyan","score: 1,033"
"16","துணையெழுத்து   [Thunai Ezhuthu]","S. Ramakrishnan","score: 998"
"17","மோகமுள்  [Moga Mul]","Thi. Janakiraman","score: 948"
"18","சிவகாமியின் சபதம்","Kalki","score: 941"
"19","உப பாண்டவம் [Uba pandavam]","S. Ramakrishnan","score: 823"
"20","கற்றதும்... பெற்றதும்... [Katradhum Petradhum]","Sujatha","score: 821"
"21","கொலையுதிர் காலம் [Kolaiyuthir Kaalam]","Sujatha","score: 819"
"22","நேர் நேர் தேமா","Gobinath","score: 734"
"23","தோட்டியின் மகன்","Thakazhi Sivasankara Pillai","score: 732"
"24","தனிமையின் நூறு ஆண்டுகள்","Gabriel García Márquez","score: 633"
"25","அபிதா [Abitha]","La Sa Ramamrutham","score: 630"
"26","The Immortals of Meluha (Shiva Trilogy, #1)","Amish Tripathi","score: 571"
"27","தேசாந்திரி  [Desanthiri]","S. Ramakrishnan","score: 547"
"28","யாமம்  [Yamam]","S. Ramakrishnan","score: 539"
"29","உறுபசி [Urupasi]","S. Ramakrishnan","score: 534"
"30","Gopallapurathu Makkal","கி. ராஜநாரயணன்","score: 511"
